"fact_date","cartera_key","cartera_name","assignees","assign","status","estimated_mrc_value","estimated_otc_value","estimated_trx_value","country","type","opportunity_type","vertical","priority","space_id","space_name","cliente","cartera_closing_date","cartera_closing_estimated_date","cartera_created_date","cartera_due_date","cartera_start_date","state_update_date"
2025-06-01,"868cutt8r",EMBOL OTP,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,1800.0,,52076.0,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,EMBOL,2025-03-24,,2025-02-27,,,2025-02-28
2025-06-01,"868e8jz6b",YASTA - BANCO UNION | OMNICHANNEL,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Cerrado,11568.0,53295.0,,Bolivia,Directa,New Sell,Digitalización & IA,,90113131698,Negocios,,2025-06-30,2025-06-30,2025-06-06,2025-06-30,,2025-07-01
2025-06-01,"868ce99hw",PMU | AGRISAL,"[""Luis Nemtala""]",Luis Nemtala,Cerrado,,,,El Salvador,Indirecta,Upsell,Hardware & S. Administradas,Normal,90113131698,Negocios,TIGO ESV,2025-03-24,,2025-02-06,2025-02-13,,2025-02-28
2025-06-01,"868ce9eyk",CEPA,"[""Luis Nemtala""]",Luis Nemtala,Cerrado,2396.95,17974.9,,El Salvador,Indirecta,Upsell,Hardware & S. Administradas,Normal,90113131698,Negocios,TIGO ESV,2025-03-24,,2025-02-06,2025-02-13,,2025-02-28
2025-06-01,"868cuudhg",TIGO (CALL CENTER POC JERONIMO),"[""Laura Saucedo""]",Laura Saucedo,Cerrado,8000.0,5000.0,5000.0,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,TIGO BO,2025-06-27,2025-06-19,2025-02-27,2025-04-25,,2025-06-28
2025-06-01,"868e8m4hj",SOFIA NUEVA LICENCIA,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,1777.0,,,Bolivia,Directa,Upsell,Digitalización & IA,,90113131698,Negocios,SOFIA,2025-06-06,2025-06-06,2025-06-06,,,2025-06-07
2025-06-01,"868bqac0e",ITACAMBA,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,22781.85,37618.77,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,ITACAMBA,2025-03-24,,2025-01-05,2024-10-29,,2025-02-28
2025-06-01,"868crpfrj",SINTESIS SEMAPA,"[""Yerko Vargas""]",,Cerrado,,,7500.0,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,SINTESIS,2025-03-24,,2025-02-24,,,2025-02-28
2025-06-01,"868ehj5b7",FOURGROUP- TIGO B,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,,5000.0,,Bolivia,Indirecta,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,2025-06-27,2025-06-27,2025-06-26,,2025-06-26,2025-06-28
2025-06-01,"868c0502g",BANCO UNION,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Cerrado,22168.5,99000.0,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,BANCO UNION,2025-05-07,2025-05-30,2025-01-15,2025-04-30,2025-01-29,2025-05-08
2025-06-01,"868e8m5w5",SOFIA POC KOKO,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,,3000.0,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,,2025-06-27,,2025-06-06,,,2025-06-28
2025-06-01,"868e8d6u2",ENTEL OUTBOUND,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Cerrado,,,1283400.0,Bolivia,Directa,New Sell,,High,90113131698,Negocios,ENTEL,2025-06-05,,2025-06-05,2025-06-30,2025-04-01,2025-06-06
2025-06-01,"868cv8auq",FAIR PLAY ENVIOS PRUEBA,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,0.0,4135.0,4135.0,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,,2025-05-30,,2025-02-28,2025-06-27,,2025-05-31
2025-06-01,"868cv9u0q",TERBOL TOKEN,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,0.0,0.0,,Bolivia,Directa,Cross Sell,Digitalización & IA,Normal,90113131698,Negocios,TERBOL,2025-06-27,2025-06-27,2025-02-28,2025-06-18,,2025-06-28
2025-06-01,"868ckfyk7",SOBOCE S.A.,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Discovery,5000.0,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TIGO BO,,,2025-02-13,,,2025-04-02
2025-06-01,"868ckfzqa",BANCO INDUSTRIAL ESV,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,El Salvador,Indirecta,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,BANCO INDUSTRIAL,,,2025-02-13,,,2025-02-28
2025-06-01,"868crxu34",SIN FRONTERAS TOTTO,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,,90113131698,Negocios,TOTTO,,,2025-02-24,2025-02-24,,2025-02-28
2025-06-01,"868crxxtq",LA SUPREMA MOLINO ANDINO,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Discovery,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,TIGO BO,,,2025-02-24,2025-02-24,,2025-02-28
