fact_date,cartera_key,cartera_name,assignees,assign,status,estimated_mrc_value,estimated_otc_value,estimated_trx_value,country,type,opportunity_type,vertical,priority,space_id,space_name,cliente,cartera_closing_date,cartera_closing_estimated_date,cartera_created_date,cartera_due_date,cartera_start_date
5/31/2025,868e5u8h0,BAGO,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,17000,28000,5000,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,BAGO,,,5/30/2025,,
5/31/2025,868df99r5,SOBOCE - CÁMARAS,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,Bolivia,Directa,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/10/2025,,
5/31/2025,868df7mj1,CEPA - CÁMARAS,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,El Salvador,Directa,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/10/2025,,
5/31/2025,868d9zw3r,SMS A2P TIGO BUSINESS,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,4000,14000,20000,Bolivia,,,Digitalización & IA,,90113131698,Negocios,TIGO BO,,7/31/2025,3/31/2025,6/2/2025,
5/31/2025,868eb3m9j,INNOVA SALUDO KOKO,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,4500,700,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,INNOVA SALUD,,,6/11/2025,,
5/31/2025,868eb3kx4,INNOVA SALUD BOT,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,7000,15000,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,INNOVA SALUD,,,6/11/2025,,
5/31/2025,868e8dwkf,ENTEL ANALITICAS DE VIDEO IA,"[""Yerko Vargas"", ""Windsor E.""]",,Lead Calificado,,,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,ENTEL,,,6/5/2025,6/30/2025,6/2/2025
5/31/2025,868e8d6u2,ENTEL OUTBOUND,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Cerrado,,,1283400,Bolivia,Directa,New Sell,,High,90113131698,Negocios,ENTEL,6/5/2025,,6/5/2025,6/30/2025,4/1/2025
5/31/2025,868e5u6ac,FAIR PLAY BOT,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,18000,25000,5000,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,FAIR PLAY,,,5/30/2025,,
5/31/2025,868e5u68d,NATURA,"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,13000,20000,,Bolivia,Directa,New Sell,Digitalización & IA,Normal,90113131698,Negocios,NATURA,,,5/30/2025,,
5/31/2025,868dyh6wp,BANCO AZUL | SMART WIFI,"[""Luis Nemtala"", ""Franz Claure""]",Luis Nemtala,Propuesta,1155,17844,,El Salvador,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,BANCO AZUL,,,5/14/2025,6/30/2025,
5/31/2025,868dxxtdn,LOS SENDEROS ESV | SMART WIFI,"[""Franz Claure"", ""Luis Nemtala""]",Luis Nemtala,Discovery,,,,,,,,,90113131698,Negocios,,,,5/13/2025,,
5/31/2025,868dkvgr5,SOFIA CAMARAS IA,"[""Laura Saucedo"", ""Windsor E.""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,4/21/2025,,
5/31/2025,868e8d29v,ENTEL OUTBOUND,"[""Yerko Vargas"", ""Luis Nemtala""]",Luis Nemtala,Negociacion,,,1328400,Bolivia,Directa,New Sell,,High,90113131698,Negocios,ENTEL,,6/30/2025,6/5/2025,6/30/2025,4/1/2025
5/31/2025,868e5u9g6,FAIR PLAY ENVIOS KOKO BOLSA,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,38261,0,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,FAIR PLAY,,,5/30/2025,,
5/31/2025,868dkvgeq,NESTLE CAMARAS IA,"[""Windsor E."", ""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,4/21/2025,,
5/31/2025,868dkvg3y,BANCO UNION CAMARAS IA,"[""Luis Nemtala"", ""Windsor E.""]",Luis Nemtala,Discovery,5000,,,,,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/21/2025,5/19/2025,5/19/2025
5/31/2025,868e8jzjn,BCP | SMART WIFI,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Lead Calificado,2500,,,Bolivia,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,BCP,,,6/6/2025,,
5/31/2025,868e8jzja,BCP | OMNICHANNEL,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Lead Calificado,8000,15000,3000,Bolivia,,New Sell,Digitalización & IA,,90113131698,Negocios,BCP,,,6/6/2025,,
5/31/2025,868e8jzhq,MULTICINE | NUEVO ZONA SUR,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Lead Calificado,2500,15000,,Bolivia,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,MULTICINE,,,6/6/2025,,
5/31/2025,868e8jz6b,YASTA - BANCO UNION | OMNICHANNEL,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Propuesta,11568,53295,,Bolivia,,New Sell,Digitalización & IA,,90113131698,Negocios,BANCO UNION,,9/30/2025,6/6/2025,,
5/31/2025,868dkvjf3,BANCO ECONOMICO SMART WI FI,"[""Laura Saucedo"", ""Windsor E.""]",Laura Saucedo,Lead Calificado,2000,500,,Bolivia,Indirecta,Upsell,Hardware & S. Administradas,Normal,90113131698,Negocios,BANCO ECONOMICO,,,4/21/2025,5/19/2025,5/19/2025
5/31/2025,868dkvhka,PIL  CAMARAS IA,"[""Windsor E."", ""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,4/21/2025,,
5/31/2025,868dkvh63,ITACAMBA CAMARAS IA,"[""Windsor E."", ""Laura Saucedo""]",Laura Saucedo,Discovery,,,,Bolivia,Directa,New Sell,Hardware & S. Administradas,Normal,90113131698,Negocios,,,,4/21/2025,,
5/31/2025,868e8jzpb,IDEPRO | OMNICHANNEL,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Lead Calificado,8000,15000,3000,Bolivia,,New Sell,Digitalización & IA,,90113131698,Negocios,IDEPRO,,,6/6/2025,,
5/31/2025,868e8jzmk,BCP | CELFI,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Lead Calificado,,100000,,Bolivia,,New Sell,Hardware & S. Administradas,,90113131698,Negocios,BCP,,,6/6/2025,,
5/31/2025,868e8m5w5,SOFIA POC KOKO,"[""Laura Saucedo""]",Laura Saucedo,Propuesta,,3000,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,SOFIA,,,6/6/2025,,
5/31/2025,868e8m4hj,SOFIA NUEVA LICENCIA,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,1777,,,Bolivia,Directa,Upsell,Digitalización & IA,,90113131698,Negocios,SOFIA,6/6/2025,6/6/2025,6/6/2025,,
5/31/2025,868dfam2h,LOS SENDEROS - SMART WIFI,[],,Discovery,,,,El Salvador,Indirecta,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/10/2025,,
5/31/2025,868df9rkn,UNIFRANZ - Smart Wifi SCZ,"[""Luis Nemtala"", ""Yerko Vargas""]",Luis Nemtala,Negociacion,2604,13522,,Bolivia,Indirecta,New Sell,Hardware & S. Administradas,,90113131698,Negocios,UNIFRANZ,,8/31/2025,4/10/2025,,
5/31/2025,868cv8auq,FAIR PLAY ENVIOS PRUEBA,"[""Laura Saucedo""]",Laura Saucedo,Cerrado,0,4135,4135,Bolivia,Directa,New Sell,Digitalización & IA,,90113131698,Negocios,FAIR PLAY,5/30/2025,,2/28/2025,6/27/2025,
5/31/2025,868cv791d,MIXO (CAMBIO  BOT),"[""Laura Saucedo""]",Laura Saucedo,Lead Calificado,7000,17000,,Bolivia,Directa,Upsell,Digitalización & IA,Normal,90113131698,Negocios,AIDISA,,,2/28/2025,2/11/2025,
5/31/2025,868cv706b,TIGO B2B (CHRISTIAN),"[""Laura Saucedo""]",Laura Saucedo,Negociacion,18467,40000,,Bolivia,Directa,New Sell,Digitalización & IA,High,90113131698,Negocios,TIGO BO,,5/15/2025,2/28/2025,3/6/2025,
5/31/2025,868df98g9,AL FORNO - Smart WiFi,"[""Luis Nemtala""]",Luis Nemtala,Discovery,,,,El Salvador,Indirecta,,Hardware & S. Administradas,,90113131698,Negocios,,,,4/10/2025,,
5/31/2025,868cv598k,SINTESIS EPSAS,"[""Luis Nemtala""]",Luis Nemtala,Lead Calificado,0,0,8000,Bolivia,,Upsell,Digitalización & IA,,90113131698,Negocios,SINTESIS,,,2/28/2025,2/3/2025,
